Sector,Subsector,Region,Market,Report_Year,Report_Half,H1_Low,H1_High,H2_Low,H2_High,H1_Alt_Low,H1_Alt_High,H2_Alt_Low,H2_Alt_High
Industrial,,Industrial -West,Seattle,2021,1,3.75,4.25,,,3.5,4.0,,
Industrial,,Industrial -Midwest,St Louis,2021,1,5.75,6.0,,,5.0,5.25,,
Industrial,,Industrial -South,Tampa,2021,1,5.25,5.75,,,3.85,4.25,,
Industrial,,Industrial -South,Tulsa,2021,1,6.25,7.0,,,5.0,5.75,,
Multifamily,Class A,Multifamily Suburban -West,Albuquerque,2021,1,5.0,5.25,,,4.5,5.0,,
Multifamily,Class A,Multifamily Suburban -South,Atlanta,2021,1,4.75,5.5,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -South,Austin,2021,1,4.0,4.75,,,3.25,4.0,,
Multifamily,Class A,Multifamily Suburban -East,Baltimore,2021,1,5.0,5.5,,,4.25,4.75,,
Multifamily,Class A,Multifamily Suburban -East,Boston,2021,1,4.5,5.0,,,3.25,3.75,,
Multifamily,Class A,Multifamily Suburban -East,Charlotte,2021,1,5.0,5.5,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -Midwest,Chicago,2021,1,5.0,5.25,,,4.5,5.25,,
Multifamily,Class A,Multifamily Suburban -Midwest,Cincinnati,2021,1,5.0,5.75,,,4.0,4.5,,
Multifamily,Class A,Multifamily Infill -Midwest,Cleveland,2021,1,5.5,6.25,,,5.0,6.0,,
Multifamily,Class A,Multifamily Suburban -Midwest,Columbus,2021,1,5.25,5.75,,,4.5,5.0,,
Multifamily,Class A,Multifamily Suburban -South,Dallas/Fort Worth,2021,1,4.75,5.25,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -West,Denver,2021,1,4.5,5.0,,,4.0,4.5,,
Multifamily,Class A,Multifamily Suburban -Midwest,Detroit,2021,1,5.75,6.75,,,4.75,5.75,,
Multifamily,Class A,Multifamily Suburban -South,Houston,2021,1,4.5,5.0,,,4.0,4.5,,
Multifamily,Class A,Multifamily Suburban -Midwest,Indianapolis,2021,1,5.0,5.5,,,5.0,5.5,,
Multifamily,Class A,Multifamily Suburban -South,Jacksonville,2021,1,4.5,5.0,,,4.0,4.5,,
Multifamily,Class A,Multifamily Suburban -Midwest,Kansas City,2021,1,5.0,5.5,,,4.25,4.75,,
Multifamily,Class A,Multifamily Suburban -West,Las Vegas,2021,1,4.25,4.5,,,3.75,4.0,,
Multifamily,Class A,Multifamily Suburban -Midwest,Milwaukee,2021,1,5.25,6.25,,,5.0,5.5,,
Multifamily,Class A,Multifamily Suburban -Midwest,Minneapolis/St Paul,2021,1,4.75,5.25,,,4.5,4.75,,
Multifamily,Class A,Multifamily Suburban -South,Nashville,2021,1,4.5,5.25,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -South,Oklahoma City,2021,1,5.25,6.0,,,5.25,5.75,,
Multifamily,Class A,Multifamily Suburban -East,Philadelphia,2021,1,5.0,5.5,,,4.75,5.25,,
Multifamily,Class A,Multifamily Suburban -West,Phoenix,2021,1,4.25,4.75,,,3.0,3.75,,
Multifamily,Class A,Multifamily Suburban -East,Pittsburgh,2021,1,5.0,5.75,,,4.25,4.75,,
Multifamily,Class A,Multifamily Suburban -West,Portland,2021,1,4.5,4.75,,,4.0,4.25,,
Multifamily,Class A,Multifamily Suburban -East,Raleigh-Durham,2021,1,4.5,5.25,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -West,Sacramento,2021,1,4.5,5.0,,,4.0,4.5,,
Multifamily,Class A,Multifamily Suburban -West,Salt Lake City,2021,1,4.5,4.75,,,4.0,4.5,,
Multifamily,Class A,S. FL: West Palm Beach 4.75 - 5.00 4.25 - 4.75 q 5.75 - 6.00 5.00 - 5.50 q,San Antonio,2021,1,4.5,5.0,,,3.5,4.25,,
Multifamily,Class A,Multifamily Suburban -West,San Diego,2021,1,4.0,4.25,,,3.75,4.25,,
Multifamily,Class A,Multifamily Suburban -West,Seattle,2021,1,4.5,4.75,,,4.25,4.5,,
Multifamily,Class A,Multifamily Suburban -Midwest,St Louis,2021,1,5.25,5.5,,,4.75,5.25,,
Multifamily,Class A,S. FL: West Palm Beach 4.75 - 5.00 4.25 - 4.75 q 5.75 - 6.00 5.00 - 5.50 q,Tampa,2021,1,4.75,5.25,,,3.5,4.25,,
Office,Class A,Office Suburban -West,Albuquerque,2021,1,8.0,9.0,,,7.5,8.25,,
Office,Class A,Office Suburban -South,Atlanta,2021,1,6.0,7.0,,,6.0,6.75,,
Office,Class A,Office Suburban -South,Austin,2021,1,6.5,7.25,,,5.25,5.75,,
Office,Class A,Office Suburban -East,Baltimore,2021,1,7.5,8.5,,,7.5,8.5,,
Office,Class A,Office Suburban -East,Boston,2021,1,6.75,8.0,,,6.0,7.0,,
Office,Class A,Office Suburban -East,Charlotte,2021,1,6.25,7.0,,,6.0,6.5,,
Office,Class A,Office Urban -Midwest,Chicago,2021,1,7.25,8.25,,,7.25,8.25,,
Office,Class A,Office Urban -Midwest,Cleveland,2021,1,7.5,8.5,,,8.0,9.0,,
Office,Class A,Office Urban -Midwest,Columbus,2021,1,6.5,8.5,,,7.5,8.5,,
Office,Class A,Office Suburban -South,Dallas/Fort Worth,2021,1,6.5,7.5,,,5.75,6.75,,
Office,Class A,Office Suburban -West,Denver,2021,1,6.5,7.0,,,6.75,7.25,,
Office,Class A,Office Urban -Midwest,Detroit,2021,1,8.25,9.5,,,8.5,9.75,,
Office,Class A,Office Suburban -South,Houston,2021,1,6.5,7.0,,,7.5,7.75,,
Office,Class A,Office CBD -Midwest,Indianapolis,2021,1,7.5,8.5,,,7.5,8.0,,
Office,Class A,Office Suburban -South,Jacksonville,2021,1,6.75,7.75,,,6.5,6.75,,
Office,Class A,Office Urban -Midwest,Kansas City,2021,1,7.25,7.5,,,6.75,7.25,,
Office,Class A,Office Suburban -West,Las Vegas,2021,1,7.0,7.5,,,6.0,7.0,,
Office,Class A,Office Suburban -South,Memphis,2021,1,7.25,7.75,,,7.25,7.75,,
Office,Class A,Office Urban -Midwest,Minneapolis/St Paul,2021,1,6.75,7.75,,,7.0,8.0,,
Office,Class A,Office Suburban -South,Nashville,2021,1,6.25,7.0,,,6.75,7.5,,
Office,Class A,Office Suburban -East,Philadelphia,2021,1,7.0,7.5,,,7.0,8.0,,
Office,Class A,Office Suburban -West,Phoenix,2021,1,6.0,7.0,,,5.75,6.75,,
Office,Class A,Office Suburban -East,Pittsburgh,2021,1,7.75,8.5,,,7.75,8.5,,
Office,Class A,Office Suburban -East,Raleigh-Durham,2021,1,6.25,6.5,,,5.25,6.25,,
Office,Class A,Office Suburban -West,Sacramento,2021,1,6.5,7.0,,,6.5,7.0,,
Office,Class A,Office Suburban -West,Salt Lake City,2021,1,6.5,6.75,,,6.5,7.0,,
Office,Class A,Office Suburban -West,San Diego,2021,1,6.25,6.75,,,5.75,6.25,,
Office,Class A,Office Suburban -West,Seattle,2021,1,5.75,6.25,,,5.5,6.0,,
Office,Class A,Office Urban -Midwest,St Louis,2021,1,7.75,8.25,,,7.75,8.25,,
Office,Class A,Office Suburban -South,Tampa,2021,1,7.25,7.75,,,7.0,7.75,,
Retail,,Retail -West,Albuquerque,2021,1,7.5,7.75,,,7.5,7.75,,
Retail,,Retail -South,Atlanta,2021,1,5.25,6.25,,,5.5,6.0,,
Retail,,Retail -South,Austin,2021,1,5.0,5.75,,,6.0,6.5,,
Retail,,Retail -East,Boston,2021,1,5.5,6.5,,,5.75,6.75,,
Retail,,Retail -East,Charlotte,2021,1,5.75,6.25,,,5.6,6.25,,
Retail,,Retail -Midwest,Chicago,2021,1,5.5,6.0,,,6.0,7.0,,
Retail,,Retail -Midwest,Cincinnati,2021,1,6.5,7.0,,,6.5,7.0,,
Retail,,Retail -Midwest,Cleveland,2021,1,6.75,7.25,,,6.5,7.0,,
Retail,,Retail -Midwest,Columbus,2021,1,6.5,7.0,,,6.5,7.0,,
Retail,,Retail -South,Dallas/Fort Worth,2021,1,5.0,6.25,,,5.0,6.5,,
Retail,,Retail -West,Denver,2021,1,5.25,6.25,,,5.0,5.5,,
Retail,,Retail -Midwest,Detroit,2021,1,6.75,7.25,,,7.0,8.0,,
Retail,,Retail -Midwest,Indianapolis,2021,1,6.5,7.0,,,6.5,7.25,,
Retail,,Retail -South,Jacksonville,2021,1,5.5,6.5,,,5.25,6.0,,
Retail,,Retail -Midwest,Kansas City,2021,1,6.5,7.0,,,6.5,7.0,,
Retail,,Retail -West,Las Vegas,2021,1,6.0,6.75,,,6.0,7.0,,
Retail,,Retail -South,Memphis,2021,1,7.25,7.75,,,6.0,7.0,,
Retail,,Retail -Midwest,Minneapolis/St Paul,2021,1,5.5,6.25,,,6.0,7.0,,
Retail,,Retail -South,Nashville,2021,1,6.0,6.5,,,6.0,7.0,,
Retail,,Retail -South,Orlando,2021,1,5.5,6.5,,,5.0,5.75,,
Retail,,Retail -East,Philadelphia,2021,1,5.75,7.0,,,6.0,7.25,,
Retail,,Retail -West,Phoenix,2021,1,5.75,6.5,,,5.75,6.5,,
Retail,,Retail -East,Pittsburgh,2021,1,6.75,7.75,,,7.0,8.0,,
Retail,,Retail -West,Portland,2021,1,5.0,5.75,,,5.0,6.0,,
Retail,,Retail -East,Raleigh-Durham,2021,1,5.6,6.25,,,8.0,9.0,,
Retail,,Retail -West,Sacramento,2021,1,7.0,7.5,,,6.5,7.0,,
Retail,,Retail -West,Salt Lake City,2021,1,6.0,6.75,,,5.5,6.25,,
Retail,,S. FL: West Palm Beach 5.00 - 5.75 5.00 - 5.25 q 6.50 - 7.25 6.50 - 7.25 tu,San Antonio,2021,1,5.25,6.75,,,6.75,7.25,,
Retail,,Retail -West,Seattle,2021,1,4.5,6.0,,,5.0,6.0,,
Retail,,Retail -Midwest,St Louis,2021,1,6.5,7.25,,,6.5,7.25,,
Retail,,S. FL: West Palm Beach 5.00 - 5.75 5.00 - 5.25 q 6.50 - 7.25 6.50 - 7.25 tu,Tampa,2021,1,5.5,6.5,,,4.5,6.0,,
Hotel,Hotel - City Center,South,Atlanta,2021,2,7.5,8.5,,,7.5,8.5,,
Hotel,Hotel - City Center,South,Austin,2021,2,6.75,8.0,,,6.5,7.75,,
Hotel,Hotel - City Center,South,Charlotte,2021,2,7.0,9.0,,,6.5,8.5,,
Hotel,Hotel - City Center,South,Dallas,2021,2,7.0,8.25,,,6.75,8.0,,
Hotel,Hotel - City Center,South,Denver,2021,2,6.5,7.0,,,7.5,8.0,,
Hotel,Hotel - City Center,South,Houston,2021,2,7.0,8.25,,,6.75,8.0,,
Hotel,Hotel - City Center,South,Las Vegas,2021,2,6.5,7.5,,,7.0,8.0,,
Hotel,Hotel - City Center,South,Los Angeles,2021,2,5.5,7.5,,,6.0,7.75,,
Hotel,Hotel - City Center,South,New York City,2021,2,4.5,6.0,,,4.75,6.75,,
Hotel,Hotel - City Center,South,Orange County,2021,2,6.0,7.5,,,6.5,8.0,,
Hotel,Hotel - City Center,South,Orlando,2021,2,6.5,7.75,,,7.25,8.0,,
Hotel,Hotel - City Center,South,Phoenix,2021,2,5.5,6.0,,,6.5,8.0,,
Hotel,Hotel - City Center,South,San Antonio,2021,2,7.25,8.5,,,7.0,8.25,,
Hotel,Hotel - City Center,South,Seattle,2021,2,6.5,7.5,,,5.5,7.0,,
Hotel,Hotel - City Center,South,Tampa,2021,2,6.25,7.5,,,7.0,8.0,,
Industrial,,South West,Albuquerque,2021,2,6.25,7.25,,,4.5,6.0,,
Industrial,,South West,Atlanta,2021,2,3.25,3.75,,,3.25,3.75,,
Industrial,,South West,Austin,2021,2,3.5,4.25,,,3.0,3.75,,
Industrial,,East Midwest,Baltimore,2021,2,4.0,4.5,,,3.75,4.25,,
Industrial,,East Midwest,Boston,2021,2,3.0,3.5,,,3.0,3.5,,
Industrial,,South West,Charlotte,2021,2,3.75,4.25,,,3.5,4.0,,
Industrial,,East Midwest,Chicago,2021,2,4.0,4.25,,,3.75,4.0,,
Industrial,,East Midwest,Cincinnati,2021,2,4.25,4.5,,,4.0,4.25,,
Industrial,,East Midwest,Cleveland,2021,2,5.5,5.75,,,5.5,5.75,,
Industrial,,East Midwest,Columbus,2021,2,3.75,4.0,,,3.75,4.0,,
Industrial,,South West,Dallas/Fort Worth,2021,2,3.75,4.25,,,3.25,3.75,,
Industrial,,South West,Denver,2021,2,3.75,4.75,,,3.25,4.0,,
Industrial,,East Midwest,Detroit,2021,2,5.0,5.25,,,5.0,5.5,,
Industrial,,South West,El Paso,2021,2,6.0,6.75,,,4.75,5.25,,
Industrial,,South West,Honolulu,2021,2,4.0,4.5,,,4.0,4.5,,
Industrial,,South West,Houston,2021,2,4.0,4.5,,,3.75,4.25,,
Industrial,,East Midwest,Indianapolis,2021,2,4.25,4.5,,,4.0,4.25,,
Industrial,,South West,Jacksonville,2021,2,4.0,4.5,,,4.0,4.5,,
Industrial,,East Midwest,Kansas City,2021,2,5.0,5.25,,,4.75,5.0,,
Industrial,,South West,Las Vegas,2021,2,3.75,4.25,,,3.25,3.5,,
Industrial,,South West,Louisville,2021,2,4.25,4.5,,,4.0,4.5,,
Industrial,,South West,Memphis,2021,2,4.5,5.0,,,4.0,4.5,,
Industrial,,East Midwest,Minneapolis/St Paul,2021,2,4.75,5.0,,,4.25,4.5,,
Industrial,,South West,Nashville,2021,2,4.0,4.5,,,3.75,4.25,,
Industrial,,South West,Oklahoma City,2021,2,5.0,5.75,,,4.75,5.5,,
